date,type,address,city,state,zip,price,beds,baths,neighborhood,sqft,lot,year,hoa,url,mls,latitude,longitude
July-18-2025,Condo/Co-op,189 Concord Ave #3,Cambridge,MA,2138,325000,0,1,Cambridge,316,316,1920,256,https://www.redfin.com/MA/Cambridge/189-Concord-Ave-02138/unit-3/home/40470801,73389721,42.3822858,-71.1305903
September-9-2025,Condo/Co-op,6 Crawford St Unit 6B,Cambridge,MA,2139,280000,1,1,Mid Cambridge,340,NA,1930,135,https://www.redfin.com/MA/Cambridge/6-Crawford-St-02139/unit-6B/home/196290134,73401174,42.3713519,-71.1067624
September-19-2025,Condo/Co-op,263 Highland Ave #1,Somerville,MA,2144,308000,0,1,Davis Square,380,NA,1900,165,https://www.redfin.com/MA/Somerville/263-Highland-Ave-02143/unit-1/home/12404008,73335023,42.3915663,-71.1106421
September-16-2025,Condo/Co-op,227 Coolidge Ave #205,Watertown,MA,2472,300000,1,1,Watertown,384,NA,1962,409,https://www.redfin.com/MA/Watertown/227-Coolidge-Ave-02472/unit-205/home/11702765,73397726,42.366019,-71.144529
May-23-2025,Condo/Co-op,50 Follen St #110,Cambridge,MA,2138,475000,0,1,Harvard Square,395,NA,1925,252,https://www.redfin.com/MA/Cambridge/50-Follen-St-02138/unit-110/home/11576213,73368663,42.3781128,-71.1213171
June-20-2025,Condo/Co-op,29 Concord Ave #608,Cambridge,MA,2138,489000,1,1,Harvard Square,414,NA,1965,424,https://www.redfin.com/MA/Cambridge/29-Concord-Ave-02138/unit-608/home/11586509,73356361,42.3796182,-71.125579
August-29-2025,Condo/Co-op,5 Kenwood St #1,Somerville,MA,2144,450000,1,1,Davis Square,430,NA,1920,70,https://www.redfin.com/MA/Somerville/5-Kenwood-St-02144/unit-1/home/12389753,73404456,42.4001988,-71.1191558
August-1-2025,Condo/Co-op,67 Walker St #3,Cambridge,MA,2138,555000,1,1,Harvard Square,432,NA,1847,364,https://www.redfin.com/MA/Cambridge/67-Walker-St-02138/unit-3/home/179696538,73378618,42.3805617,-71.1225345
May-15-2025,Condo/Co-op,4 Washington Ave #20,Cambridge,MA,2140,477000,0,1,Porter Square,433,NA,1880,317,https://www.redfin.com/MA/Cambridge/4-Washington-Ave-02140/unit-20/home/23430172,73356644,42.3842952,-71.1223207
May-6-2025,Condo/Co-op,578 Cambridge St Unit 2F,Cambridge,MA,2141,515000,1,1,Cambridge,465,NA,1964,246,https://www.redfin.com/MA/Cambridge/578-Cambridge-St-02141/unit-2F/home/11603210,73353775,42.3717188,-71.0859878
September-22-2025,Condo/Co-op,781/783 Cambridge St Unit 1R,Cambridge,MA,2141,472500,1,1,Inman Square,473,NA,1900,155,https://www.redfin.com/MA/Cambridge/781-Cambridge-St-02141/unit-1R/home/196894371,73412291,42.3724364,-71.0897499
May-21-2025,Condo/Co-op,10-14 Remington St #108,Cambridge,MA,2138,600000,1,1,Harvard Square,479,NA,1900,277,https://www.redfin.com/MA/Cambridge/10-14-Remington-St-02138/unit-108/home/194296086,73326529,42.371098,-71.113083
August-19-2025,Condo/Co-op,35 Lee St #11,Cambridge,MA,2138,500000,0,1,Cambridge,483,NA,1901,377,https://www.redfin.com/MA/Cambridge/35-Lee-St-02139/unit-11/home/11565928,73404503,42.3693388,-71.1064747
July-8-2025,Condo/Co-op,7 Linnaean St #1,Cambridge,MA,2138,550000,1,1,Neighborhood 9,486,NA,1900,344,https://www.redfin.com/MA/Cambridge/7-Linnaean-St-02138/unit-1/home/11578027,73381904,42.3848586,-71.1204891
July-31-2025,Condo/Co-op,60 Cross St E #330,Somerville,MA,2145,460000,0,1,Assembly Square,494,NA,2022,214,https://www.redfin.com/MA/Somerville/60-Cross-St-E-02145/unit-330/home/178621702,73349169,42.391076,-71.085159
April-28-2025,Condo/Co-op,2 Avon St #5,Cambridge,MA,2138,638000,1,1,Cambridge,520,NA,1909,384,https://www.redfin.com/MA/Cambridge/2-Avon-St-02138/unit-5/home/195086774,73342024,42.3816225,-71.1218918
