date,year,album,song,artist,danceability,energy,speechiness,loudness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
,1967,Sgt. Pepper's Lonely Hearts Club Band,a day in the life,Beatles,0.364,0.457,0.0675,-14.162,0.29,0.000106,0.922,0.175,163.219,337413
,1964,A Hard Day's Night,A Hard Day's Night,Beatles,0.59,0.805,0.0371,-6.481,0.137,0,0.0996,0.797,138.514,154200
,1970,Let It Be,across the universe,Beatles,0.257,0.412,0.0287,-11.788,0.361,0.0000868,0.0702,0.858,152.126,228133
,1965,Help!,act naturally,Beatles,0.702,0.447,0.0308,-10.122,0.366,0,0.153,0.944,93.02,150373
,1963,With The Beatles,All I've Got To Do,Beatles,0.49,0.579,0.0344,-10.301,0.217,0,0.0644,0.879,119.403,122573
,1963,With The Beatles,All My Loving,Beatles,0.416,0.563,0.0298,-8.724,0.207,0,0.343,0.9,77.56,127853
,1969,Yellow Submarine,all together now,Beatles,0.587,0.431,0.0686,-9.495,0.0722,0,0.561,0.778,95.937,130893
,1967,Magical Mystery Tour,all you need is love,Beatles,0.4,0.48,0.0295,-7.768,0.346,0.000031,0.155,0.653,103.436,230387
,1969,Yellow Submarine,all you need is love,Beatles,0.4,0.463,0.0288,-8.455,0.345,0.0000459,0.286,0.627,103.103,231213
,1964,A Hard Day's Night,And I Love Her,Beatles,0.767,0.331,0.0337,-10.777,0.64,0,0.0681,0.636,113.312,149693
,1966,Revolver,and your bird can sing,Beatles,0.555,0.65,0.0282,-6.936,0.0067,0.0491,0.236,0.966,132.59,120493
,1963,Please Please Me,Anna,Beatles,0.608,0.565,0.0336,-11.06,0.635,0,0.0601,0.835,109.286,177133
,1965,Help!,another girl,Beatles,0.516,0.638,0.0314,-7.453,0.238,0,0.333,0.822,88.657,125360
,1964,A Hard Day's Night,any time at all,Beatles,0.612,0.719,0.0398,-7.026,0.366,0.00000388,0.437,0.744,141.016,131280
,1963,Please Please Me,Ask Me Why,Beatles,0.605,0.394,0.0378,-11.33,0.767,0,0.0967,0.597,133.942,146533
,1963,Please Please Me,Baby It's You,Beatles,0.608,0.494,0.0345,-12.211,0.778,0,0.0926,0.879,112.421,160520
,1967,Magical Mystery Tour,"baby, youre a rich man",Beatles,0.619,0.625,0.036,-9.635,0.0119,0.00000105,0.152,0.467,96.751,181307
,1964,Beatles for Sale,babys in black,Beatles,0.374,0.596,0.0416,-7.666,0.434,0,0.098,0.876,202.97,124520
,1968,The Beatles (white album),back in the ussr,Beatles,0.48,0.969,0.0854,-7.464,0.069,0.00022,0.0608,0.494,142.489,163453
,1969,Abbey Road,because,Beatles,0.328,0.249,0.0272,-11.777,0.754,0.00000577,0.134,0.162,81.257,165667
,1967,Sgt. Pepper's Lonely Hearts Club Band,being for the benefit of mr.kite!,Beatles,0.526,0.413,0.0446,-9.865,0.338,0,0.0992,0.71,111.874,157533
,1968,The Beatles (white album),birthday,Beatles,0.541,0.727,0.0384,-7.509,0.0000737,0.717,0.232,0.91,139.239,163080
,1968,The Beatles (white album),blackbird,Beatles,0.686,0.127,0.0342,-14.361,0.754,0.0000141,0.0573,0.372,93.699,138387
,1967,Magical Mystery Tour,blue jay way,Beatles,0.294,0.407,0.0308,-11.575,0.0258,0.000219,0.0852,0.0378,101.052,235067
,1963,Please Please Me,Boys,Beatles,0.402,0.86,0.0504,-10.31,0.607,0,0.736,0.822,142.445,146440
,1964,A Hard Day's Night,cant buy me love,Beatles,0.483,0.677,0.0593,-5.91,0.283,0,0.321,0.842,170.72,131867
